2019-04-26 10:52:23,142 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-26 10:52:23,142 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechatmanager\wxweb\src\test\resources
2019-04-28 15:10:52,733 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 15:10:52,743 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 15:10:52,750 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 15:10:52,751 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 16:27:53,615 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:27:53,636 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 16:27:53,637 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:27:53,639 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 16:28:08,275 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:28:08,315 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 16:28:08,316 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:28:08,317 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 16:34:00,777 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:34:00,884 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 16:34:00,885 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:34:00,886 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 16:34:41,627 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:34:41,635 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 16:34:41,638 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:34:41,639 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 16:34:55,913 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-28 16:34:55,913 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-04-28 16:34:55,956 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-04-28 16:34:55,972 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-28 16:34:55,973 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechatmanager\wxweb\src\test\resources
2019-04-28 16:37:09,306 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:37:09,320 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 16:37:09,323 [Worker-79] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:37:09,324 [Worker-79] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 16:37:16,067 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:37:16,154 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 16:37:16,155 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:37:16,156 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 16:37:22,417 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:37:22,499 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 16:37:22,500 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:37:22,501 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 16:56:53,632 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:56:53,667 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 16:56:53,668 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:56:53,670 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 16:58:50,333 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:58:50,362 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 16:58:50,365 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:58:50,367 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 16:59:46,151 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:59:46,187 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 16:59:46,189 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 16:59:46,190 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 17:00:48,159 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 17:00:48,180 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 17:00:48,181 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 17:00:48,182 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 17:06:12,958 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @265230683ms
2019-04-28 17:06:13,865 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2019-04-28 17:06:14,071 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@536dc7f8{/help,null,AVAILABLE}
2019-04-28 17:06:14,112 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@1263dcc4{HTTP/1.1,[http/1.1]}{127.0.0.1:51220}
2019-04-28 17:06:14,113 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @265231838ms
2019-04-28 17:06:33,467 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 17:06:33,554 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 17:06:33,555 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 17:06:33,556 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 17:06:56,602 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-28 17:06:56,602 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-04-28 17:06:56,618 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-04-28 17:06:56,622 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2019-04-28 17:06:56,623 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechatmanager\wxweb\src\test\resources
2019-04-28 17:11:34,962 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 17:11:35,103 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 17:11:35,104 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 17:11:35,105 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 17:12:29,533 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 17:12:29,563 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 17:12:29,566 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 17:12:29,567 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 19:14:13,991 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 19:14:14,011 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 19:14:14,013 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 19:14:14,014 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 19:21:29,465 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 19:21:29,478 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 19:21:29,479 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 19:21:29,480 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 19:21:53,267 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 19:21:53,291 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 19:21:53,293 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 19:21:53,294 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-28 19:22:25,235 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 19:22:25,257 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\main\resources
2019-04-28 19:22:25,258 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-28 19:22:25,259 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\wx\wechat-netty-server\wxnetty\src\test\resources
2019-04-29 09:24:39,661 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
